Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Skin_Type,source_name,SRA Study
SRR8052720,RNA-Seq,252,5037519816,PRJNA496323,SAMN10238677,2883393746,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX4882345,GSM3427880,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427880,lesional,skin biopsy,SRP165679
SRR8052721,RNA-Seq,252,6550051536,PRJNA496323,SAMN10238676,3687612596,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4882346,GSM3427881,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427881,non-lesional,skin biopsy,SRP165679
SRR8052722,RNA-Seq,252,9769022928,PRJNA496323,SAMN10238675,5371503101,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX4882347,GSM3427882,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427882,lesional,skin biopsy,SRP165679
SRR8052723,RNA-Seq,252,6862709196,PRJNA496323,SAMN10238674,3769064795,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4882348,GSM3427883,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427883,non-lesional,skin biopsy,SRP165679
SRR8052724,RNA-Seq,252,9607637592,PRJNA496323,SAMN10238743,5180807746,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX4882349,GSM3427884,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427884,lesional,skin biopsy,SRP165679
SRR8052725,RNA-Seq,252,9666623484,PRJNA496323,SAMN10238742,5186566235,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4882350,GSM3427885,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427885,non-lesional,skin biopsy,SRP165679
SRR8052726,RNA-Seq,252,8634634596,PRJNA496323,SAMN10238741,4745341965,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX4882351,GSM3427886,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427886,lesional,skin biopsy,SRP165679
SRR8052727,RNA-Seq,252,6984201168,PRJNA496323,SAMN10238740,3836365394,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4882352,GSM3427887,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427887,non-lesional,skin biopsy,SRP165679
SRR8052728,RNA-Seq,252,7601391756,PRJNA496323,SAMN10238739,4157645909,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4882353,GSM3427888,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427888,lesional,skin biopsy,SRP165679
SRR8052729,RNA-Seq,252,6966574776,PRJNA496323,SAMN10238738,3448773112,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX4882354,GSM3427889,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427889,non-lesional,skin biopsy,SRP165679
SRR8052730,RNA-Seq,252,8147187972,PRJNA496323,SAMN10238737,4362643729,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX4882355,GSM3427890,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427890,lesional,skin biopsy,SRP165679
SRR8052731,RNA-Seq,252,10068908472,PRJNA496323,SAMN10238736,5255768177,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4882356,GSM3427891,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427891,non-lesional,skin biopsy,SRP165679
SRR8052732,RNA-Seq,252,10094377104,PRJNA496323,SAMN10238735,5812969978,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4882357,GSM3427892,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427892,lesional,skin biopsy,SRP165679
SRR8052733,RNA-Seq,252,13438049688,PRJNA496323,SAMN10238734,7642022799,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4882358,GSM3427893,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427893,non-lesional,skin biopsy,SRP165679
SRR8052734,RNA-Seq,252,7652331540,PRJNA496323,SAMN10238733,4264532930,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX4882359,GSM3427894,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427894,lesional,skin biopsy,SRP165679
SRR8052735,RNA-Seq,252,8692904808,PRJNA496323,SAMN10238732,5044904667,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX4882360,GSM3427895,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427895,non-lesional,skin biopsy,SRP165679
SRR8052736,RNA-Seq,252,8637676992,PRJNA496323,SAMN10238731,4512844407,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX4882361,GSM3427896,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427896,lesional,skin biopsy,SRP165679
SRR8052737,RNA-Seq,252,6682100292,PRJNA496323,SAMN10238730,3615454245,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX4882362,GSM3427897,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427897,non-lesional,skin biopsy,SRP165679
SRR8052738,RNA-Seq,252,8863664040,PRJNA496323,SAMN10238729,4985074194,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4882363,GSM3427898,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427898,lesional,skin biopsy,SRP165679
SRR8052739,RNA-Seq,252,6543876276,PRJNA496323,SAMN10238728,3631186458,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4882364,GSM3427899,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427899,non-lesional,skin biopsy,SRP165679
SRR8052740,RNA-Seq,252,4178648124,PRJNA496323,SAMN10238727,2143296751,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4882365,GSM3427900,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427900,lesional,skin biopsy,SRP165679
SRR8052741,RNA-Seq,252,5633730648,PRJNA496323,SAMN10238637,2950060313,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX4882366,GSM3427901,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427901,non-lesional,skin biopsy,SRP165679
SRR8052742,RNA-Seq,252,7700318136,PRJNA496323,SAMN10238636,4050417016,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX4882367,GSM3427902,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427902,lesional,skin biopsy,SRP165679
SRR8052743,RNA-Seq,252,7304316012,PRJNA496323,SAMN10238635,3831026412,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX4882368,GSM3427903,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427903,non-lesional,skin biopsy,SRP165679
SRR8052744,RNA-Seq,252,7278480720,PRJNA496323,SAMN10238634,3633007077,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX4882369,GSM3427904,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427904,lesional,skin biopsy,SRP165679
SRR8052745,RNA-Seq,252,8038985724,PRJNA496323,SAMN10238633,3958591306,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX4882370,GSM3427905,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427905,non-lesional,skin biopsy,SRP165679
SRR8052746,RNA-Seq,252,4540744656,PRJNA496323,SAMN10238632,2792360535,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX4882371,GSM3427906,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427906,lesional,skin biopsy,SRP165679
SRR8052747,RNA-Seq,252,8983087344,PRJNA496323,SAMN10238631,4904739750,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4882372,GSM3427907,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427907,non-lesional,skin biopsy,SRP165679
SRR8052748,RNA-Seq,252,8450711640,PRJNA496323,SAMN10238630,4778571946,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX4882373,GSM3427908,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427908,lesional,skin biopsy,SRP165679
SRR8052749,RNA-Seq,252,5294773008,PRJNA496323,SAMN10238629,2974905130,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX4882374,GSM3427909,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427909,non-lesional,skin biopsy,SRP165679
SRR8052750,RNA-Seq,252,8004700872,PRJNA496323,SAMN10238628,4344990141,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX4882375,GSM3427910,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427910,non-lesional,skin biopsy,SRP165679
SRR8052751,RNA-Seq,252,7222989060,PRJNA496323,SAMN10238627,4184927571,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4882376,GSM3427911,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427911,healthy,skin biopsy,SRP165679
SRR8052752,RNA-Seq,252,8430451596,PRJNA496323,SAMN10238626,4810143918,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX4882377,GSM3427912,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427912,healthy,skin biopsy,SRP165679
SRR8052753,RNA-Seq,252,8627047380,PRJNA496323,SAMN10238625,4946133646,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX4882378,GSM3427913,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427913,healthy,skin biopsy,SRP165679
SRR8052754,RNA-Seq,252,8706743892,PRJNA496323,SAMN10238624,4543746566,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX4882379,GSM3427914,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427914,healthy,skin biopsy,SRP165679
SRR8052755,RNA-Seq,252,11180317428,PRJNA496323,SAMN10238623,6359891466,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX4882380,GSM3427915,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427915,healthy,skin biopsy,SRP165679
SRR8052756,RNA-Seq,252,7269793272,PRJNA496323,SAMN10238622,4171312504,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX4882381,GSM3427916,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427916,healthy,skin biopsy,SRP165679
SRR8052757,RNA-Seq,252,7300308708,PRJNA496323,SAMN10238621,3735448452,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4882382,GSM3427917,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427917,healthy,skin biopsy,SRP165679
SRR8052758,RNA-Seq,252,4717089972,PRJNA496323,SAMN10238620,2726411642,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX4882383,GSM3427918,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427918,healthy,skin biopsy,SRP165679
SRR8052759,RNA-Seq,252,7980744744,PRJNA496323,SAMN10238619,4166783928,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX4882384,GSM3427919,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427919,healthy,skin biopsy,SRP165679
SRR8052760,RNA-Seq,252,6354439308,PRJNA496323,SAMN10238618,3466615120,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX4882385,GSM3427920,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427920,healthy,skin biopsy,SRP165679
SRR8052761,RNA-Seq,252,6128336592,PRJNA496323,SAMN10238617,3486439162,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX4882386,GSM3427921,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427921,healthy,skin biopsy,SRP165679
SRR8052762,RNA-Seq,252,7825621356,PRJNA496323,SAMN10238616,4118424110,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4882387,GSM3427922,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427922,healthy,skin biopsy,SRP165679
SRR8052763,RNA-Seq,252,8946359856,PRJNA496323,SAMN10238615,4660383246,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4882388,GSM3427923,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427923,healthy,skin biopsy,SRP165679
SRR8052764,RNA-Seq,252,6957793332,PRJNA496323,SAMN10238614,3834097709,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX4882389,GSM3427924,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427924,healthy,skin biopsy,SRP165679
SRR8052765,RNA-Seq,252,5875434684,PRJNA496323,SAMN10238613,3409306930,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX4882390,GSM3427925,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427925,healthy,skin biopsy,SRP165679
SRR8052766,RNA-Seq,252,8540927388,PRJNA496323,SAMN10238612,4509832538,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4882391,GSM3427926,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427926,healthy,skin biopsy,SRP165679
SRR8052767,RNA-Seq,252,7389001368,PRJNA496323,SAMN10238609,4074403818,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX4882392,GSM3427927,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427927,healthy,skin biopsy,SRP165679
SRR8052768,RNA-Seq,252,6186772620,PRJNA496323,SAMN10238611,3772563232,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX4882393,GSM3427928,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427928,healthy,skin biopsy,SRP165679
SRR8052769,RNA-Seq,252,7507329228,PRJNA496323,SAMN10238610,3871251736,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX4882394,GSM3427929,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427929,healthy,skin biopsy,SRP165679
SRR8052770,RNA-Seq,252,9388502172,PRJNA496323,SAMN10238608,5139409638,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4882395,GSM3427930,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427930,healthy,skin biopsy,SRP165679
SRR8052771,RNA-Seq,252,8600780160,PRJNA496323,SAMN10238607,4717261631,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX4882396,GSM3427931,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427931,healthy,skin biopsy,SRP165679
SRR8052772,RNA-Seq,252,8869058604,PRJNA496323,SAMN10238606,4673456208,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4882397,GSM3427932,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427932,healthy,skin biopsy,SRP165679
SRR8052773,RNA-Seq,252,6959683080,PRJNA496323,SAMN10238605,3860367469,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4882398,GSM3427933,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427933,healthy,skin biopsy,SRP165679
SRR8052774,RNA-Seq,252,6962377464,PRJNA496323,SAMN10238604,4071718972,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX4882399,GSM3427934,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427934,healthy,skin biopsy,SRP165679
SRR8052775,RNA-Seq,252,6072768576,PRJNA496323,SAMN10238603,3515126610,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4882400,GSM3427935,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427935,healthy,skin biopsy,SRP165679
SRR8052776,RNA-Seq,252,9784450872,PRJNA496323,SAMN10238602,5580351335,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX4882401,GSM3427936,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427936,healthy,skin biopsy,SRP165679
